"id","status","noCharge","completedOn","invoice_total","lon","lat","zip"
32658944,Completed,true,"2019-09-11T13:09:00",0,-83.0939905,40.0612299,"43220"
32659753,Hold,false,,0,-83.1258831,39.9778792,"43228"
32986974,Completed,true,"2019-09-20T15:16:00",0,-82.9418581,40.0699078,"43231"
32695765,Completed,false,"2019-09-12T20:57:00",6100,-83.07458099999997,40.114942,"43235"
32987334,Completed,true,"2019-09-20T11:57:00",0,-83.1569645,40.0173931,"43026"
32987354,Canceled,false,"2019-09-21T00:27:20.5060035",0,-117.2549584,33.1181091,"92009"
32703787,Completed,false,"2019-09-12T21:21:00",5965,-83.0193741,40.0351448,"43214"
32989259,Canceled,false,"2019-09-20T12:44:22.1341962",0,-83.095248,40.0031562,"43228"
32989327,Completed,false,"2019-09-20T23:43:00",1073,,,"92123"
32211250,Completed,false,"2019-08-09T15:49:00",0,-83.1620945,40.1431769,"43017"
32989370,Completed,false,"2019-09-20T19:30:00",2400,-82.9418581,40.0699078,"43231"
32989491,Hold,false,,0,-82.7716661,39.8795644,"43147"
32989684,Completed,true,"2019-09-20T16:36:00",0,-83.0605725,40.1379883,"43235"
32989704,Completed,false,"2019-09-20T16:29:00",256,-83.0704906,40.1065067,"43235"
32989721,Canceled,true,"2019-09-23T12:09:48.452883",0,-83.0820005,40.1301144,"43016"
32989897,Completed,true,"2019-09-20T21:08:00",0,-82.8238782,40.0638267,"43054"
32727114,Completed,true,"2019-09-12T20:43:00",0,-82.886482,40.087651,"43081"
32989950,Completed,false,"2019-09-20T16:10:00",444,-82.8970541,40.033445,"43230"
32738141,Completed,false,"2019-09-18T19:53:00",99,-83.0816441,40.0062345,"43221"
32212066,Canceled,false,"2019-08-08T14:50:59.0276333",0,-82.829384,40.020127,"43004"
32665770,Completed,false,"2019-09-11T19:34:00",2686.24,-83.0571542,40.0420225,"43220"
32677314,Completed,false,"2019-09-11T20:49:00",3279,-83.0827259,40.137163,"43065"
32685262,Hold,false,,0,-82.9683229,40.0950255,"43229"
32685757,Hold,false,,0,-82.977478,40.0295002,"43224"
32793694,Completed,false,"2019-09-11T22:50:00",1846.5,-82.844407,40.056492,"43230"
32750102,Completed,false,"2019-09-10T00:56:00",0,-82.9455764,40.0748166,"43231"
32750846,Completed,true,"2019-09-09T22:08:00",0,-86.2217456,39.9144885,"46268"
32751881,Completed,true,"2019-09-09T23:47:00",0,,,"43110"
32989968,Canceled,true,"2019-09-20T14:47:10.0162425",0,-83.0879864,40.0878834,"43017"
32990012,Scheduled,false,,464,-82.9093299,39.9607903,"43213"
32990101,Completed,false,"2019-09-23T17:28:00",165,-82.93579,39.6222368,"43113"
32990110,Completed,true,"2019-09-20T19:01:00",0,-82.8977327,40.1298997,"43081"
32990128,Completed,false,"2019-09-20T17:47:00",0,-83.1223635,40.1254726,"43017"
32990154,Completed,false,"2019-09-20T21:16:00",385,-83.1706574,40.084472,"43016"
32737084,Completed,true,"2019-09-12T19:01:00",0,-83.1560432,40.0212084,"43026"
32737243,Completed,false,"2019-09-12T20:06:00",0,-82.977708,39.988662,"43201"
32990176,Completed,false,"2019-09-23T22:16:00",441,,,"43221"
32990223,Completed,true,"2019-09-20T17:53:00",0,-83.0045722,40.0471752,"43214"
32556527,Completed,false,"2019-09-10T15:07:00",93.24,-83.0077699,40.02886,"43202"
32990233,Working,false,,587,-83.0820005,40.1301144,"43016"
32990309,Completed,true,"2019-09-20T15:10:00",0,-82.94696010000001,39.8790337,"43207"
32990326,Completed,false,"2019-09-20T20:49:00",206,-83.0772626,39.884338,"43123"
32595525,Completed,true,"2019-09-13T18:38:00",625,-117.0765811,33.0965849,"92025"
32990338,Completed,false,"2019-09-21T23:21:00",2865,-83.07295199999999,39.9580259,"43204"
32738169,Completed,false,"2019-09-12T19:33:00",611,-83.161927,40.1768388,"43065"
32738447,Completed,false,"2019-09-12T20:44:00",1005,-83.0832583,40.1733355,"43065"
32990354,Canceled,false,"2019-09-20T14:35:23.5528425",0,-83.0304024,39.9767397,"43212"
32990382,Completed,false,"2019-09-20T20:13:00",0,-83.1016193,40.0785447,"43017"
32990406,Canceled,false,"2019-09-20T14:05:29.0510239",0,-82.9003755,40.0440941,"43230"
32623190,Completed,true,"2019-09-10T16:31:00",384,-83.164272,40.0113014,"43026"
32627027,Completed,true,"2019-09-10T11:11:00",0,-83.0933108,40.1133865,"43016"
32739187,Completed,false,"2019-09-12T13:38:00",1549,-83.157369,40.107559,"43017"
32739598,Canceled,false,"2019-09-11T15:47:36.0935531",0,-82.9194179,39.9501092,"43209"
32630823,Completed,false,"2019-09-10T14:35:00",739,-83.00644469999997,39.9786916,"43215"
